id,university,campus,min_long,min_lat,max_long,max_lang
EUAA,Algoma University College,Main,"","","",""
EUAE,Carleton University,Main,"","","",""
EUAG,Dominicain University College,Main,"","","",""
EUAK,University of Guelph,Main,"","","",""
EUAL,Lakehead University,Main,"","","",""
EUAM,Laurentian University,Main,"","","",""
EUAN,Mcmaster University,Main,"","","",""
EUAO,University of Ottawa,Main,"","","",""
EUAP,Queen's University,Main,"","","",""
EUAS,Royal Military College Registrar's Office,Main,"","","",""
EUAU,St. Paul University,Main,"","","",""
EUAV,University of Toronto (Admission And Awards),Main,"","","",""
EUAW,Trent University Acounts Receivable Dept.,Main,"","","",""
EUAX,University of Waterloo,Main,"","","",""
EUAY,Western University,Main,"","","",""
EUAZ,Wilfrid Laurier University,Main,"","","",""
EUBA,University of Windsor,Main,"","","",""
EUBB,York University,Main,"","","",""
EUBC,Nipissing University,Main,"","","",""
EUBD,Brock University Student Awards Office,Main,"","","",""
EUBF,Ryerson University,Main,"","","",""
EUBS,University of Ontario Institute of Technology,Main,"","","",""
EUBT,Northern Ontario School of Medicine,Main,"","","",""